DATE,covid,covid19,pandemia,wirus
2019-04-18,0,0,2,46
2019-04-19,0,0,5,163
2019-04-20,0,0,3,119
2019-04-21,0,0,11,274
2019-04-22,0,0,3,85
2019-04-23,0,0,12,272
2019-04-24,0,0,0,245
2019-04-25,0,0,5,453
2019-04-26,0,0,3,303
