DATE,covid,covid19,pandemia,wirus
2020-03-28,263,1,328,4319
2020-03-29,198,1,9858,6195
2020-03-30,262,7,10272,5359
2020-03-31,263,5,4173,1647
2020-04-01,123,6,3995,723
2020-04-02,612,3,3962,766
2020-04-03,478,4,3654,784
2020-04-04,504,3,3986,612
2020-04-05,721,1,4262,523
2020-04-06,414,7,516,3112
2020-04-07,667,6,315,1347
2020-04-08,249,9,273,931
2020-04-09,218,12,400,523
2020-04-10,246,14,510,525
