DATE,covid,covid19,pandemia,wirus
2019-03-18,0,0,2,25
2019-03-19,0,0,7,43
2019-03-20,0,0,1,745
2019-03-21,0,0,1,80
2019-03-22,0,0,3,133
2019-03-23,0,0,0,103
2019-03-24,0,0,0,102
2019-03-25,0,0,1,90
2019-03-26,0,0,1,80
2019-03-27,0,0,0,29
